gam,f
68.9401943,101745013.17
69.80176653,101791002.78
70.66334095,101837295.09
71.52491747,101883895.14
72.38649602,101930807.84
73.24807652,101978038.01
74.10965892,102025590.35
74.97124314,102073469.48
75.83282912,102121679.94
76.69441681,102170226.17
77.55600614,102219112.55
78.41759706,102268343.35
79.27918952,102317922.83
80.14078348,102367855.12
81.00237887,102418144.34
81.86397567,102468794.52
82.72557381,102519809.65
83.58717327,102571193.67
84.448774,102622950.47
85.31037596,102675083.88
86.17197912,102727597.72
87.03358344,102780495.74
87.89518888,102833781.67
88.75679542,102887459.20
89.61840302,102941532.00
90.48001165,102996003.69
91.34162129,103050877.87
92.2032319,103106158.14
93.06484345,103161848.04
93.92645593,103217951.11
94.7880693,103274470.87
95.64968355,103331410.82
96.51129864,103388774.44
97.37291456,103446565.20
98.23453129,103504786.56
99.09614879,103563441.97
99.95776706,103622534.87
100.8193861,103682068.68
101.6810058,103742046.84
102.5426263,103802472.76
103.4042474,103863349.87
104.2658692,103924681.57
105.1274917,103986471.28
105.9891148,104048722.41
106.8507385,104111438.38
107.7123628,104174622.61
108.5739877,104238278.52
109.4356132,104302409.54
110.2972393,104367019.10
111.1588659,104432110.64
112.0204931,104497687.61
112.8821208,104563753.46
113.743749,104630311.67
114.6053777,104697365.71
115.4670069,104764919.07
116.3286366,104832975.26
117.1902668,104901537.79
118.0518974,104970610.20
118.9135285,105040196.02
119.77516,105110298.83
120.6367919,105180922.20
121.4984243,105252069.74
122.3600571,105323745.07
123.2216903,105395951.81
124.0833239,105468693.63
124.9449579,105541974.22
125.8065922,105615797.26
126.6682269,105690166.49
127.529862,105765085.66
128.3914975,105840558.53
129.2531333,105916588.92
130.1147694,105993180.64
130.9764059,106070337.55
131.8380427,106148063.52
132.6996799,106226362.47
133.5613173,106305238.33
134.4229551,106384695.07
135.2845932,106464736.69
136.1462316,106545367.23
137.0078702,106626590.73
137.8695092,106708411.30
138.7311484,106790833.08
139.5927879,106873860.21
140.4544277,106957496.90
141.3160678,107041747.39
142.1777081,107126615.96
143.0393487,107212106.90
143.9009895,107298224.57
144.7626306,107384973.36
145.6242719,107472357.70
146.4859135,107560382.05
147.3475553,107649050.93
148.2091974,107738368.88
149.0708396,107828340.52
149.9324821,107918970.47
150.7941248,108010263.43
151.6557677,108102224.12
152.5174109,108194857.32
153.3790542,108288167.87
154.2406978,108382160.62
155.1023415,108476840.52
155.9639855,108572212.52
156.8256297,108668281.66
157.687274,108765053.01
158.5489185,108862531.70
159.4105632,108960722.91
160.2722082,109059631.89
161.1338532,109159263.91
161.9954985,109259624.34
162.8571439,109360718.58
163.7187895,109462552.09
164.5804353,109565130.40
165.4420813,109668459.10
166.3037274,109772543.82
167.1653736,109877390.29
168.0270201,109983004.27
168.8886666,110089391.60
169.7503134,110196558.18
